ds,yhat,yhat_lower,yhat_upper,y
2025-02-13,2137.004373135573,1773.7368198181948,2501.7596327489487,2089.0
2025-02-14,2254.093760002949,1895.2575094342883,2633.1489469333405,2186.48
2025-02-15,1618.4468229823176,1212.6267088984362,2010.9940883619774,1667.8
2025-02-16,2606.916741580418,2218.213625026646,2979.2455209600093,2633.2
2025-02-17,1920.6915558785488,1548.7988116456477,2294.6342962515687,2493.08
2025-02-18,1783.0433279826445,1410.7185845779811,2156.1484163942246,1401.16
2025-02-19,1625.7197998847932,1265.9633316278946,2013.6679892441857,1700.12
2025-02-20,1626.9777878022783,1237.3238889298914,2001.4761989088997,1662.16
2025-02-21,1880.265360726496,1504.5031522931629,2242.3966010635504,1662.92
2025-02-22,1305.300290327048,942.9742127772267,1679.490898297571,1301.72
2025-02-23,2411.46726535083,2018.7532033095622,2775.966279336812,2365.08
2025-02-24,1795.2668907166792,1428.9297982199882,2184.108642428247,1468.96
2025-02-25,1164.1156144945958,799.065345811105,1552.6683810824882,1083.92
2025-02-26,637.3119045387214,254.22133356273673,1011.9543397887841,967.91
2025-02-27,884.1505682270742,497.8002553410121,1257.636961120944,1105.4
2025-02-28,1372.8619757985662,1009.0640343395193,1752.5110030064845,1193.29
2025-03-01,1080.2109721846289,716.7656640413344,1437.8313376556537,1079.21
2025-03-02,1680.6784093745555,1318.1400113469513,2042.9020505675203,1679.4
2025-03-03,1195.96936314425,843.3660360297927,1586.72298237122,1195.8
2025-03-04,1187.970241668861,819.6167908575189,1586.034964210169,1189.6
2025-03-05,1028.4234557996576,652.4632770338877,1392.7599567421737,1030.88
2025-03-06,790.9041048082391,432.33273732704447,1134.7457353842026,797.52
2025-03-07,999.0282749233015,631.3335860284974,1377.0481675669496,1004.6
2025-03-08,1218.8660607515344,841.1161605673616,1578.552774378789,1222.72
2025-03-09,995.4734148800837,611.724523150071,1351.2527324833022,992.8
2025-03-10,1143.9938464532624,755.4890560361304,1514.056576309801,1143.4
2025-03-11,1103.0140248211094,711.9459424274404,1477.3771746571022,1107.8
2025-03-12,1034.0579709152742,639.5517696282055,1383.8951295738118,1042.32
2025-03-13,1158.5324123812118,778.1353673565458,1516.11204794623,1167.2
2025-03-14,795.7688432516196,422.26506285901866,1171.6098207770192,798.8
2025-03-15,562.7350327093092,184.67235339855,921.9590554790798,566.12
2025-03-16,926.4703797436235,549.6625636417266,1265.7092319619192,929.3199999999999
2025-03-17,825.7055124883551,444.93196761942954,1196.1330256330143,827.6
2025-03-18,901.9139024140962,521.747145449,1265.4658206063189,904.0
2025-03-19,576.2644510167034,234.21117971693835,960.6351629903206,576.2
2025-03-20,779.9464452388241,415.3088888043682,1157.8950370997984,780.6
2025-03-21,779.404111091708,420.6600395762264,1118.711864522482,778.72
2025-03-22,426.7140873919169,56.01263064972097,813.62775741575,425.0
2025-03-23,661.458493462655,286.98242629001504,1021.4853654098455,657.8
2025-03-24,270.4209092652593,-103.62268850000109,647.2849884473467,257.0
2025-03-25,263.09106076342454,-123.03989547012239,639.0622103301002,249.0
2025-03-26,581.7666136515049,189.1613859626229,971.1906335724668,571.3199999999999
2025-03-27,1487.672698234035,1098.032727319341,1849.5265927096834,1488.0
2025-03-28,748.1830398471642,364.25213859517055,1122.8907667893768,741.14
2025-03-29,695.1658253243418,320.66408261465506,1051.4029255566163,691.96
2025-03-30,1136.2038377670478,759.9500922048467,1487.5794199463166,1133.23
2025-03-31,725.0310838854423,373.7474639402868,1096.408178386117,714.25
2025-04-01,1147.8902470129406,747.2272340586086,1501.0957660389402,1146.52
2025-04-02,743.6477040840308,410.1698707170682,1120.8031603440184,740.6
2025-04-03,1035.819281423148,688.1187168672981,1419.8531015787296,1038.4
2025-04-04,1337.0532288887357,965.5190105188517,1717.343207151416,1343.4
2025-04-05,1540.962133232966,1187.162059610858,1901.8003224247557,1553.15
2025-04-06,955.7442853340225,572.068543569411,1334.8222628404878,960.48
2025-04-07,664.5839562706028,288.43612772704836,1033.6698386303644,664.0
2025-04-08,1436.728928120454,1076.2736457037172,1790.0469931727296,1442.26
2025-04-09,926.7613582377223,583.0154153430803,1310.7424512917544,923.6
2025-04-10,648.8361735852437,256.9678721348453,1010.649091200366,642.2
2025-04-11,802.5498982832349,430.38548216971884,1198.3199698314802,802.72
2025-04-12,872.2118935399078,470.2956674519045,1244.9988681266411,878.72
2025-04-13,975.3669582002173,619.3996747886861,1363.5125937203914,975.6
2025-04-14,1278.737786908875,888.2153517146897,1632.0736861815562,1283.36
2025-04-15,1582.4075271172364,1215.0424445417257,1964.4639768244494,1595.8
2025-04-16,1351.609809798756,950.0319006022243,1735.771756077134,1374.12
2025-04-17,1839.3885708691748,1449.0532615358331,2184.8510345318537,1903.3600000000001
2025-04-18,1805.0461473949404,1437.442151433497,2169.6875086046107,1855.92
2025-04-19,994.0353453859243,593.5788132699507,1319.6047021756513,961.2
2025-04-20,1206.5949583259712,832.2342772036161,1586.4705173240443,1177.52
2025-04-21,1395.8651424737889,1029.7277019733021,1760.9799464657879,1398.4
2025-04-22,1012.5114475317173,624.5455308365689,1390.870289431899,920.6
2025-04-23,1068.907807530098,673.1637413797165,1435.8392998869947,999.0
2025-04-24,1155.4258923948444,778.6392116658325,1514.3882514105298,1121.19
2025-04-25,1172.3147121244458,790.0279247163052,1537.775164431149,1147.68
2025-04-26,1017.7934952099678,647.9341027233202,1382.7254156229171,994.12
2025-04-27,1069.7186497269568,694.2118390829144,1430.5894352437992,1041.92
2025-04-28,1280.6790790703085,887.7067346516603,1647.3906368547866,1402.28
2025-04-29,1351.8910394314596,994.3147906225959,1750.4126979713078,1509.0
2025-04-30,1198.471620102519,808.0625464533802,1584.8507145605354,1241.12
2025-05-01,1227.6872769768931,861.9295504121981,1591.9216441382234,1272.72
2025-05-02,1199.5088056421873,817.1767834286894,1607.4971335968762,819.8
2025-05-03,1098.5575250725815,740.4255287122722,1464.5623865081234,1064.52
2025-05-04,1130.2051510383724,761.129361835528,1514.2068792453229,1186.6
2025-05-05,1042.2192902461325,658.9001910551923,1417.657205939161,743.6800000000001
2025-05-06,938.2705839725411,567.5963609078673,1326.8632088087168,1533.68
2025-05-07,910.1309375794981,513.9739825824304,1300.9463731318865,1150.48
2025-05-08,1006.8366912237233,622.7597316371711,1378.2834460863937,1135.72
2025-05-09,1126.4133475269223,742.5090299697661,1508.9816172013943,1100.2
2025-05-10,1061.490143746517,696.3940097005594,1446.9737928595002,748.8
2025-05-11,1032.660023842143,655.9670901280715,1407.6461485336479,448.6
2025-05-12,915.120785477194,543.138593377118,1304.028062450261,1125.4
2025-05-13,917.7548472714446,553.0609442524081,1250.558787454688,912.9200000000001
2025-05-14,927.7631785996144,549.7935902405114,1273.2376441729748,893.52
2025-05-15,911.7299854765963,542.8077079101703,1285.4027074317487,1041.92
2025-05-16,900.978602512906,535.6812400662574,1288.7710184944638,1017.0
2025-05-17,822.5502306945496,458.7272471344613,1203.388948038806,588.0
2025-05-18,916.0972264496953,526.0146642690839,1292.536141085837,923.48
2025-05-19,863.0519065082434,476.29251645233313,1227.6043363426108,891.48
2025-05-20,842.0766628754901,467.88252752219495,1202.4021029484948,912.92
2025-05-21,826.031740539851,438.75901396004446,1190.8012976846637,1413.72
2025-05-22,850.6693323108639,480.1653754923726,1217.8018551623913,712.72
2025-05-23,893.013361234851,503.8820133653836,1276.271518184963,978.52
