"customer_id","product_id","product_variant_sku","product_title","product_variant_id","products_bought_together_ids","products_bought_together_titles","order_id","order_day","orders","gross_sales","net_sales","total_sales"
"7561641918687","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4343002431565,4448677003341,8667880849631]","['Starter Set','Toilet Paper Gel','Pocket Kit']","5781157773535","2024-09-13",1,"16","12.8","12.8"
"7562624139487","6691828170829",NULL,"Family Bundle","39556046651469","[6691828170829,8667880849631]","['Family Bundle','Pocket Kit']","5782107816159","2024-09-13",1,"53","42.4","42.4"
"7561893511391","8761174556895",NULL,"Baby & Kids Wipe Gel - Starter Set","46203389477087","[8667880849631,8727325376735,8761174556895]","['Pocket Kit','Feminine Wipe Gel - Starter Set','Baby & Kids Wipe Gel - Starter Set']","5781376925919","2024-09-13",1,"23","18.4","18.4"
"7562217980127","7728232333535",NULL,"Happy Peaches Bundle","43070028480735","[4911690219597,7728232333535,8667880849631,8707059908831,8727325376735]","['Pocket Trio','Happy Peaches Bundle','Pocket Kit','Pocket Trio','Feminine Wipe Gel - Starter Set']","5781709619423","2024-09-13",1,"43","43","43"
"7562443292895","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5781943320799","2024-09-13",1,"23","18.4","18.4"
"7561853501663","8727325376735",NULL,"Feminine Wipe Gel - Starter Set","46094405566687","[8667880849631,8727325376735,8756124614879]","['Pocket Kit','Feminine Wipe Gel - Starter Set','Feminine Wipe Gel']","5781340684511","2024-09-13",1,"23","18.4","18.4"
"7562419503327","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5781914943711","2024-09-13",1,"23","23","23"
"7562624041183","6691828170829",NULL,"Family Bundle","39556046651469","[6691828170829,8667880849631]","['Family Bundle','Pocket Kit']","5782103556319","2024-09-13",1,"53","53","53"
"7561853501663","8756124614879",NULL,"Feminine Wipe Gel","46189021790431","[8667880849631,8727325376735,8756124614879]","['Pocket Kit','Feminine Wipe Gel - Starter Set','Feminine Wipe Gel']","5781340684511","2024-09-13",1,"16","12.8","12.8"
"7561873981663","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341]","['Toilet Paper Gel']","5781366243551","2024-09-13",1,"16","12.8","12.8"
"7561893511391","8727325376735",NULL,"Feminine Wipe Gel - Starter Set","46094405566687","[8667880849631,8727325376735,8761174556895]","['Pocket Kit','Feminine Wipe Gel - Starter Set','Baby & Kids Wipe Gel - Starter Set']","5781376925919","2024-09-13",1,"23","18.4","18.4"
"7562074456287","8756124614879",NULL,"Feminine Wipe Gel","46189021790431","[8667880849631,8756124614879,8761174556895]","['Pocket Kit','Feminine Wipe Gel','Baby & Kids Wipe Gel - Starter Set']","5781556003039","2024-09-13",1,"16","16","16"
"7562126524639","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5781640118495","2024-09-13",1,"23","18.4","20"
"7562217980127","4911690219597","Wip320mBlu","Pocket Trio","33282681602125","[4911690219597,7728232333535,8667880849631,8707059908831,8727325376735]","['Pocket Trio','Happy Peaches Bundle','Pocket Kit','Pocket Trio','Feminine Wipe Gel - Starter Set']","5781709619423","2024-09-13",1,"15.2","15.2","15.2"
"7562074456287","8761174556895",NULL,"Baby & Kids Wipe Gel - Starter Set","46203389477087","[8667880849631,8756124614879,8761174556895]","['Pocket Kit','Feminine Wipe Gel','Baby & Kids Wipe Gel - Starter Set']","5781556003039","2024-09-13",1,"23","23","23"
"7562233610463","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565,8667880849631]","['Starter Set','Pocket Kit']","5781725184223","2024-09-13",1,"46","46","50.38"
"7562501128415","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5782004400351","2024-09-13",1,"23","18.4","18.4"
"7561849897183","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5781332820191","2024-09-13",1,"23","18.4","18.4"
"7562717233375","8727325376735",NULL,"Feminine Wipe Gel - Starter Set","46094405566687","[8393368961247,8667880849631,8727325376735]","['Bottle Hanger - Matte Grey','Pocket Kit','Feminine Wipe Gel - Starter Set']","5782179971295","2024-09-13",1,"23","23","23"
"7561954197727","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5781436334303","2024-09-13",1,"23","23","23"
"7454549475551","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5781697134815","2024-09-13",1,"23","23","24.79"
"7562307272927","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5781812936927","2024-09-13",1,"23","18.4","18.4"
"6380525387999","4911690219597","Wip320mBlu","Pocket Trio","33282681602125","[4911690219597]","['Pocket Trio']","5781776138463","2024-09-13",1,"19","19","19"
